"IRN","Local Education Agency Name","Org Type","Operating Expenditures","Instruction","Pupil Support","Staff Support","Administration","Operations Support","Operating EPP","Instruction EPP","Pupil Support EPP","Staff Support EPP","Administration EPP","Operations Support EPP","Operating EPEP","Instruction EPEP","Pupil Support EPEP","Staff Support EPEP","Administration EPEP","Operations Support EPEP"
"044800","South-Western City","Public District","203164093.0799997","123724720.91999966","10384474.32000001","6726153.899999991","27531877.010000013","34796866.930000015","10387.928372306442","6326.135289538945","530.9657517962028","343.91315844772134","1407.7249675335743","1779.1892049899996","8706.709838206869","5302.291505021896","445.03240388520925","288.25305420167564","1179.8938522708218","1491.2390228272657"
"049221","Southeast Local","Public District","16630247.689999996","9988548.929999996","771879.6699999999","278191.36999999994","2077672.1099999999","3513955.610000001","9284.856493888308","5576.720511084078","430.94920172532113","155.31740695848802","1159.9879774673475","1961.8813966530745","7555.951134571087","4538.296063126905","350.7034397206177","126.39621711968532","943.9900853828599","1596.5653292210195"
"050583","Southeast Local","Public District","15493246.45999999","9331926.95999999","683229.7599999995","352131.35000000003","2211735.7300000004","2914222.66","10038.770042383949","6046.574489447777","442.69523914571323","228.1617126849875","1433.0828884260977","1888.2557126793738","8372.129271654194","5042.719682053964","369.19879172704196","190.28221040783149","1195.1618722456233","1574.7667152197337"
"046276","Southeastern Local","Public District","7779002.760000002","5044554.720000002","452955.76000000007","191055.25999999998","884167.5499999998","1206269.47","10695.172947964382","6935.642888995459","622.7585129403717","262.677506534051","1215.6217389268468","1658.472300567654","9070.883540804543","5882.318054394916","528.1793919940212","222.7843422590754","1031.0037319755977","1406.5980201809334"
"049528","Southeastern Local","Public District","9757241.080000002","5556559.020000001","529032.0","118542.57999999999","1142800.1099999999","2410307.37","7824.122385442941","4455.685521958723","424.219416111388","95.05675284659057","916.3869017303867","1932.7737927958524","6862.793852842238","3908.2276201595187","372.09673593068936","83.37738943353637","803.7929477843168","1695.2991595341764"
"050799","Southern Hills","Joint Vocational School District","5291438.639999999","3024713.079999999","506781.86999999994","101932.78","929425.4800000001","728585.4299999999","13683.571553150181","7821.857281884547","1310.529413978852","263.59645904190546","2403.4786991125266","1884.1096991323504","11248.186251576593","6429.732705247791","1077.282994380953","216.68188418811218","1975.7105046957477","1548.7781630639909"
"046441","Southern Local","Public District","9719485.070000004","5051188.580000003","730173.9700000001","517925.95000000007","1238521.0100000002","2181675.56","11415.187304847856","5932.440179447539","857.5631911202016","608.2854890677108","1454.598593270882","2562.2998519415214","9484.842254592819","4929.245380228843","712.5464851256557","505.42244778715695","1208.621272037097","2129.0066694140664"
"048538","Southern Local","Public District","7538494.280000001","3943623.1400000006","433750.74000000005","178661.36999999997","1282154.57","1700304.4600000004","10446.608218749625","5464.948884457494","601.0781300709207","247.58330601466838","1776.7694676382232","2356.2284305683183","9204.279077389725","4815.047489379002","529.5968548488851","218.14026100564791","1565.4728974113673","2076.0215747448224"
"049064","Southern Local","Public District","8398013.509999998","4923931.529999998","391666.23","173428.0","1296035.3600000003","1612952.3900000001","12657.705898598664","7421.478555299078","590.3295992379157","261.39522352139795","1953.4184365779201","2431.0840839623534","9742.747299886716","5712.377166530012","454.3818725994536","201.19819725376385","1503.5633116286465","1871.2267518748406"
"013233","Southern Ohio Academy","Community School","377937.51","0.0","0.0","0.0","377937.51","0.0","5452.724052838675","0.0","0.0","0.0","5452.724052838675","0.0","4505.6261932001","0.0","0.0","0.0","4505.6261932001","0.0"
