"Sponsor IRN","Sponsor Name","School IRN","School Name","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013"
"007991","Educational Resource Consultants of Ohio","000725","Zenith Academy","NA","NA","NA","NA","NA","NA","15.61","247.29","281.1","365.77","387.64","359.33","305.79","296.05","342.03999999999996"
"007991","Educational Resource Consultants of Ohio","000909","V L T Academy","NA","NA","NA","NA","NA","NA","NA","357.65","552.23","663.11","560.32","719.72","788.29","817.49","788.14"
"007991","Educational Resource Consultants of Ohio","000938","Premier Academy of Ohio","NA","NA","NA","NA","NA","NA","NA","NA","224.16","163.36","258.3","233.25","209.47","189.16","117.23"
"007991","Educational Resource Consultants of Ohio","011439","Renaissance Academy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","281.52","207.66","182.4","167.60999999999999"
"007991","Educational Resource Consultants of Ohio","011923","Northeast Ohio College Preparatory School","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","215.57999999999998","300.90999999999997","398.6"
"007991","Educational Resource Consultants of Ohio","012010","Cleveland College Preparatory School","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","220.17000000000002","239.43","283.18"
"007991","Educational Resource Consultants of Ohio                    ","012036","Thurgood Marshall High School                               ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","52.61","58.61","99.42"
"007991","Educational Resource Consultants of Ohio                    ","012037","New Beginnings Academy                                      ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","23.06","55.69","94.69"
"007991","Educational Resource Consultants of Ohio                    ","012038","Langston Hughes High School                                 ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","48.81","73.8","99.39"
"007991","Educational Resource Consultants of Ohio                    ","012040","Road to Success Academy                                     ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","33.04","56.44","113.64"
"007991","Educational Resource Consultants of Ohio                    ","012041","The Arch Academy                                            ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","25.09","29.35","89.37"
"007991","Educational Resource Consultants of Ohio                    ","012042","George V. Voinovich Reclamation Academy                     ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","51.72","86.14","85.56"
"007991","Educational Resource Consultants of Ohio                    ","012043","Frederick Douglass Reclamation Academy                      ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","11.410000000000002","54.53","83.5"
"007991","Educational Resource Consultants of Ohio                    ","012044","Capital High School                                         ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6.31","63.84","198.37"
"007991","Educational Resource Consultants of Ohio","013170","Hope Academy for Autism","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","28.49"
"007991","Educational Resource Consultants of Ohio","013180","BAJIM Village Academy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","20.09"
"007991","Educational Resource Consultants of Ohio","133330","T.C.P. World Academy","NA","NA","247.69","260.64","305.04","297.56","298.56","325.04","356.04","370.17","385.32","411.78000000000003","444.31000000000006","459.19","454.66999999999996"
"007991","Educational Resource Consultants of Ohio","133561","Millennium Community School","NA","433.59","549.69","671.51","669.94","673.22","654.94","644.98","591.83","528.1","578.98","667.1","623.13","598.13","673.04"
"007991","Educational Resource Consultants of Ohio","134247","City Day Community School","64.9","224.21","247.42","173.19","119.5","122.59","153.7","158.87","175.77","156.98","156.64","142.54000000000002","169.28000000000003","157.47","135.72"
"007991","Educational Resource Consultants of Ohio","134288","East End Comm Heritage School","NA","NA","150.87","168.39","185.19","196.82","192.96","179.32","150.3","93.69","56.22","94.89","92.42","87.62","81.84"
"007991","Educational Resource Consultants of Ohio","143602","Hamilton Cnty Math & Science","NA","NA","NA","60.63","108.36","147.58","210.96","276.13","323.64","391.0","415.5","412.64","409.95000000000005","477.09","498.18"
"008303","Kids Count of Dayton, Inc.","000277","Scholarts Preparatory and Care     ","NA","NA","NA","NA","NA","NA","50.8","86.02","92.99","122.06","218.88","155.25","180.90000000000003","184.86","62.69"
"008303","Kids Count of Dayton, Inc.                                  ","000445","General Chappie James Leadership Academy                    ","NA","NA","NA","NA","NA","NA","49.87","71.41","82.44","87.79","86.30000000000001","89.48","117.55","116.64","124.08"
"008303","Kids Count of Dayton, Inc.","000608","Summit Academy Transition High School-Cincinnati","NA","NA","NA","NA","NA","NA","NA","NA","NA","24.54","35.57","46.830000000000005","58.85","93.47","78.99"
"008303","Kids Count of Dayton, Inc.","000614","Summit Academy Transition High School-Columbus","NA","NA","NA","NA","NA","NA","NA","NA","NA","23.15","30.200000000000003","34.3","37.760000000000005","51.18","70.84"
"008303","Kids Count of Dayton, Inc.","000621","Summit Academy Transition High School Dayton","NA","NA","NA","NA","NA","NA","NA","NA","NA","24.65","38.96","37.5","50.19000000000001","71.55","79.99"
"008303","Kids Count of Dayton, Inc.","132944","Miami Valley Academies","NA","NA","NA","NA","107.25","179.86","191.05","192.87","191.94","180.25","166.98000000000002","163.1","172.98000000000002","170.37","177.52999999999997"
"008303","Kids Count of Dayton, Inc.                                  ","133264","Dohn Community                                              ","NA","NA","NA","39.3","46.24","55.46","76.95","92.32","95.65","96.89","109.66000000000001","101.30000000000001","159.78000000000003","173.18","191.1"
"008303","Kids Count of Dayton, Inc.","133512","Cincinnati College Preparatory Academy","NA","343.47","454.37","412.88","413.26","435.53","495.0","522.75","546.83","591.82","659.61","677.48","695.4200000000001","825.26","878.8"
