"Building IRN","Building Name","District IRN","District Name","County","Region","Open/Closed Status (as of 8/20/2013)","Feeder IRN","School Type","Limited English Proficiency","Read 3rd grade 2012-13 % proficient or above","Math 3rd grade 2012-13 % proficient or above","Read 4th Grade 2012-13 % proficient or above","Math 4th Grade 2012-13 % proficient or above","Read 5th grade 2012-13 % proficient or above","Math 5th grade 2012-13 % proficient or above","Science 5th grade 2012-13 % proficient or above","Read 6th Grade 2012-13 % proficient or above","Math 6th Grade 2012-13 % proficient or above","Read 7th Grade 2012-13 % proficient or above","Math 7th Grade 2012-13 % proficient or above","Read 8th Grade 2012-13 % proficient or above","Math 8th Grade 2012-13 % proficient or above","Science 8th grade 2012-13 % proficient or above","Read OGT 2012-13 % proficient or above","Math OGT 2012-13 % proficient or above","Write OGT 2012-13 % proficient or above","Social Studies OGT 2012-13 % proficient or above","Science OGT 2012-13 % proficient or above","Read 11th grade 2012-13 % at or above proficient","Math 11th grade 2012-13 % at or above proficient","Write 11th grade 2012-13 % at or above proficient","Social Studies 11th grade 2012-13 % at or above proficient","Science 11th grade 2012-13 % at or above proficient","Attendance rate 2012-13","	2012 4-Year Longitudinal Graduation Rate - Class of 2012","	2012 5-Year Longitudinal Graduation Rate - Class of 2011","Enrollment","% of total enrollment"
"026344","North Ridgeville Middle School","044537","North Ridgeville City","Lorain","Region 2","Open","026336","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026351","William Crawford Intermediate Schools","046516","Colonel Crawford Local","Crawford","Region 7","Open","006965","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026385","North Union Middle School","050336","North Union Local","Union","Region 11","Open","026393","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026393","North Union High School","050336","North Union Local","Union","Region 11","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026419","Napoleon High School","044438","Napoleon Area City","Henry","Region 1","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026427","Nashport Elementary School","048876","Tri-Valley Local","Muskingum","Region 12","Open","067322","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026435","Nashville Elementary School","047696","West Holmes Local","Holmes","Region 9","Open","019679","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026443","Nathan Hale School","043786","Cleveland Municipal","Cuyahoga","Region 3","Open","018325","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026468","National Trail High School","049270","National Trail Local","Preble","Region 10","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026484","Navarre Elementary School","044909","Toledo City","Lucas","Region 1","Open","038950","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","13","2.6"
"026500","Mathews Junior High School","050153","Mathews Local","Trumbull","Region 5","Open","023218","Junior High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026542","Special Education Center","043802","Columbus City","Franklin","Region 11","Open","******","Ungraded","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026567","Nelsonville-York High School","044446","Nelsonville-York City","Athens","Region 16","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026575","Nelsonville-York Junior High School","044446","Nelsonville-York City","Athens","Region 16","Open","026567","Junior High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026591","Nevin Coppock Elementary School","045617","Tipp City Exempted Village","Miami","Region 10","Open","003707","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","10","3.5"
"026633","New Bremen Elementary School","045955","New Bremen Local","Auglaize","Region 6","Open","026641","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026641","New Bremen High School","045955","New Bremen Local","Auglaize","Region 6","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026658","North Elementary School","044412","Mt Healthy City","Hamilton","Region 13","Open","035105","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","38","4.3"
"026682","Miller City Middle School","049361","Miller City-New Cleveland Local","Putnam","Region 1","Open","024810","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026690","New Concord Elementary School","048835","East Muskingum Local","Muskingum","Region 12","Open","152280","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026732","New Haven Elementary School","045096","Willard City","Huron","Region 7","Open","041301","Elementary School","LEP","--","--","66.7","53.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","23","18.5"
"026757","New Knoxville Elementary School","045963","New Knoxville Local","Auglaize","Region 6","Open","026765","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026765","New Knoxville High School","045963","New Knoxville Local","Auglaize","Region 6","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026773","Dixie Elementary School","048710","New Lebanon Local","Montgomery","Region 10","Open","026781","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026781","Dixie Middle School","048710","New Lebanon Local","Montgomery","Region 10","Open","008532","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026799","New Lexington Elementary School","044479","New Lexington City","Perry","Region 16","Open","026807","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026807","New Lexington Middle School","044479","New Lexington City","Perry","Region 16","Open","064865","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026815","New London Elementary School","047720","New London Local","Huron","Region 2","Open","142281","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026823","New London High School","047720","New London Local","Huron","Region 2","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026849","Tri-Village High School","046680","Tri-Village Local","Darke","Region 10","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026864","New Miami Elementary School","046136","New Miami Local","Butler","Region 13","Open","010134","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026872","New Miami  High School","046136","New Miami Local","Butler","Region 13","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026880","Springfield Elementary School","048371","Springfield Local","Mahoning","Region 5","Open","035451","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026906","New Philadelphia High School","044487","New Philadelphia City","Tuscarawas","Region 12","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","19","2.1"
"026914","New Richmond Elementary School","045559","New Richmond Exempted Village","Clermont","Region 13","Open","026930","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026922","New Richmond High School","045559","New Richmond Exempted Village","Clermont","Region 13","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026930","New Richmond Middle School","045559","New Richmond Exempted Village","Clermont","Region 13","Open","026922","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026948","New Riegel Elementary School","049718","New Riegel Local","Seneca","Region 7","Open","026955","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026955","New Riegel High School","049718","New Riegel Local","Seneca","Region 7","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"026989","New Vienna Elementary School","046409","East Clinton Local","Clinton","Region 14","Open","124867","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027003","Crestview Elementary School","046433","Crestview Local","Columbiana","Region 5","Open","010983","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027011","Newark High School","044453","Newark City","Licking","Region 11","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027045","Newbury Elementary School","047217","Newbury Local","Geauga","Region 4","Open","027052","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027052","Newbury High School","047217","Newbury Local","Geauga","Region 4","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027060","Newcomerstown High School","045542","Newcomerstown Exempted Village","Tuscarawas","Region 12","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027078","Newman Elementary School","044297","Mansfield City","Richland","Region 7","Open","003624","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027094","Newport Elementary School","050492","Frontier Local","Washington","Region 16","Open","010194","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027102","Newton D Baker School","043786","Cleveland Municipal","Cuyahoga","Region 3","Open","004895","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","11","3.8"
"027110","Newton Elementary School","048637","Newton Local","Miami","Region 10","Open","027169","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027136","Newton Elementary School","048025","North Fork Local","Licking","Region 11","Open","038059","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027151","Newton Falls High School","045567","Newton Falls Exempted Village","Trumbull","Region 5","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027169","Newton High School","048637","Newton Local","Miami","Region 10","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027185","Mercer Elementary School","047340","Forest Hills Local","Hamilton","Region 13","Open","135830","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","13","1.8"
"027193","Fairview Middle School","046714","Central Local","Defiance","Region 1","Open","011288","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027201","Nicholas Elementary School","043760","Circleville City","Pickaway","Region 11","Open","007468","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027219","Frank Nicholas Elementary School","045054","West Carrollton City","Montgomery","Region 10","Open","038596","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027227","Nicklin Learning Center Elementary School","044644","Piqua City","Miami","Region 10","Open","011445","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027250","Noble Elementary School","043794","Cleveland Heights-University Heights City","Cuyahoga","Region 3","Open","025411","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.3","--","--","23","5.4"
"027268","Noble Elementary School","044891","Tiffin City","Seneca","Region 7","Open","040584","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027300","Noble Elementary School","046722","Northeastern Local","Defiance","Region 1","Open","139204","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027318","Nolley Elementary School","050005","Manchester Local","Summit","Region 8","Open","022400","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027326","Nordonia Middle School","050047","Nordonia Hills City","Summit","Region 8","Open","027334","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027334","Nordonia High School","050047","Nordonia Hills City","Summit","Region 8","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027342","Normandy Elementary School","043737","Centerville City","Montgomery","Region 10","Open","037416","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","24","4.5"
"027359","Normandy Elementary School","043547","Bay Village City","Cuyahoga","Region 3","Open","040626","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027367","Normandy High School","044636","Parma City","Cuyahoga","Region 3","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","23","1.7"
"027383","Fairfield North Elementary School","046102","Fairfield City","Butler","Region 13","Open","124073","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","22","3.0"
"027425","Waverly Junior High School","049148","Waverly City","Pike","Region 15","Open","039909","Junior High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027433","North Elementary School","043919","East Liverpool City","Columbiana","Region 5","Open","040717","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027458","Orrville Elementary School","044610","Orrville City","Wayne","Region 9","Open","062364","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","35","5.5"
"027482","North Elementary School","048348","Poland Local","Mahoning","Region 5","Open","064311","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027490","North Elementary School","044941","Urbana City","Champaign","Region 6","Open","009423","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027508","Lincolnview Elementary School","050369","Lincolnview Local","Van Wert","Region 1","Open","020990","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027516","Crestline North Elementary School","045344","Crestline Exempted Village","Crawford","Region 7","Open","035154","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027532","Tuslaw Elementary School","049957","Tuslaw Local","Stark","Region 9","Open","025130","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027565","North High School","043489","Akron City","Summit","Region 8","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","23.5","23.5","19.6","17.6","7.8","51.1","74.5","46.8","51.1","25.5","94.6","53.7","52.5","269","37.0"
"027573","North High School","045104","Willoughby-Eastlake City","Lake","Region 4","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","25","2.0"
"027599","M L King Elementary School","045161","Youngstown City Schools","Mahoning","Region 5","Open","009230","Elementary School","LEP","43.8","31.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.9","--","--","77","23.5"
"027607","North Rd Elementary School","050161","Howland Local","Trumbull","Region 5","Open","017012","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027631","Woodridge Primary Elementary School","049973","Woodridge Local","Summit","Region 8","Open","123034","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","21","4.6"
"027649","Northeastern Elementary School","043588","Bellefontaine City","Logan","Region 6","Closed","040634","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027656","Northeastern High School","046250","Northeastern Local","Clark","Region 10","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027664","Clermont Northeastern Middle School","046326","Clermont Northeastern Local","Clermont","Region 13","Open","006635","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027672","Northfield Elementary School","050047","Nordonia Hills City","Summit","Region 8","Open","009787","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","19","4.5"
"027680","Northland High School","043802","Columbus City","Franklin","Region 11","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","72.7","75.8","63.6","54.5","48.5","84.2","62.2","68.4","52.6","44.7","92.8","91.4","74.0","133","14.3"
"027698","Northmont High School","048728","Northmont City","Montgomery","Region 10","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","16","0.9"
"027706","Northmont Middle School","048728","Northmont City","Montgomery","Region 10","Open","027698","Middle School","LEP","--","--","--","--","--","--","--","--","--","66.7","58.3","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","21","2.4"
"027714","Northmoor Elementary School","048728","Northmont City","Montgomery","Region 10","Open","027706","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","12","2.2"
"027722","Northmor High School","048819","Northmor Local","Morrow","Region 7","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027763","Northridge High School","048736","Northridge Local","Montgomery","Region 10","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027771","Northridge High School","048033","Northridge Local","Licking","Region 11","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027805","Claymont Intermediate Elementary School","043778","Claymont City","Tuscarawas","Region 12","Open","006510","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027813","Northtowne Elementary School","043802","Columbus City","Franklin","Region 11","Open","042184","Elementary School","LEP","58.3","41.7","61.5","23.1","50.0","40.0","30.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","88","32.8"
"027821","Robert C Lindsey Elementary School","047225","West Geauga Local","Geauga","Region 4","Open","038661","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027839","Northview Elementary School","043984","Findlay City","Hancock","Region 1","Open","042804","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027854","Northwest High School","049635","Northwest Local","Scioto","Region 15","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027862","Northwest High School","049908","Northwest Local","Stark","Region 9","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027870","Northwestern Elementary School","046268","Northwestern Local","Clark","Region 10","Open","027904","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027888","Northwestern High School","050575","Northwestern Local","Wayne","Region 9","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027896","Northwestern High School","046268","Northwestern Local","Clark","Region 10","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027904","Northwestern Middle School","046268","Northwestern Local","Clark","Region 10","Closed","027896","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027912","Northwood Elementary School","044172","Kenton City","Hardin","Region 6","Open","018853","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027946","Greenwood Elementary School","048231","Washington Local","Lucas","Region 1","Open","039438","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027953","Northwood Elementary School","050716","Northwood Local Schools","Wood","Region 1","Open","027961","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027961","Northwood High School","050716","Northwood Local Schools","Wood","Region 1","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027979","Northwood Middle School","043943","Elyria City Schools","Lorain","Region 2","Open","010462","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"027995","Norton High School","044552","Norton City","Summit","Region 8","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"028001","Norton Cornerstone Elementary School","044552","Norton City","Summit","Region 8","Open","028027","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"028027","Norton Middle/Intermediate School","044552","Norton City","Summit","Region 8","Open","027995","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"028035","Norton Primary Elementary School","044552","Norton City","Summit","Region 8","Open","028027","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","10","2.7"
"028050","Norwalk Middle School","044560","Norwalk City","Huron","Region 2","Open","028068","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"028068","Norwalk High School","044560","Norwalk City","Huron","Region 2","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"028076","Norwayne High School","050567","Norwayne Local","Wayne","Region 9","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"028100","Norwood High School","044578","Norwood City","Hamilton","Region 13","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.9","--","--","15","2.5"
"028118","Norwood View Elementary School","044578","Norwood City","Hamilton","Region 13","Open","064857","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.8","--","--","38","9.6"
"028134","Northwest Middle School","049908","Northwest Local","Stark","Region 9","Open","027862","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"028159","Oak Intermediate Elementary School","044461","New Boston Local","Scioto","Region 15","Open","013730","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"028183","Oak Harbor High School","048926","Benton Carroll Salem Local","Ottawa","Region 1","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"028217","Oak Hills High School","047373","Oak Hills Local","Hamilton","Region 13","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"028258","Oakdale Elementary School","044909","Toledo City","Lucas","Region 1","Open","038950","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","23","5.5"
"028290","Oakland Park Alternative Elementary","043802","Columbus City","Franklin","Region 11","Open","024067","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
