"District IRN","% enrolled less than 3 years","Charter Transfer"
"047225","047225","33.1",""
"049288","049288","37.1",""
"49064.0","","","79786.84"
"44750.0","","","586185.61"
"47936.0","","","302927.76"
"45302.0","","","322611.80"
"045500","045500","34.6",""
"045138","045138","36.6",""
"46714.0","","","97787.66"
"48736.0","","","1114193.70"
"050294","050294","38.6",""
"47803.0","","","375077.69"
"46060.0","","","466658.06"
"043596","043596","34.1",""
"047894","047894","29.5",""
"50690.0","","","263810.30"
"047548","047548","34.7",""
"043802","043802","49.9",""
"43646.0","","","335781.06"
"049874","049874","33.4",""
"046623","046623","28.0",""
"050278","050278","32.5",""
"47175.0","","","308795.97"
"46474.0","","","181334.69"
"044438","044438","41.1",""
"045294","045294","37.5",""
"046805","046805","34.7",""
"48579.0","","","78364.52"
"049213","049213","36.7",""
"048397","048397","36.0",""
"047001","047001","47.1",""
"47050.0","","","101252.61"
"50492.0","","","126447.26"
"050120","050120","40.3",""
"045252","045252","33.8",""
"44230.0","","","207062.13"
"45310.0","","","22872.68"
"44594.0","","","234818.97"
"44453.0","","","4595745.07"
"051433","","",""
"050682","050682","27.9",""
"48702.0","","","1218909.94"
"049858","049858","35.0",""
"043729","043729","37.2",""
"048231","048231","42.9",""
"45534.0","","","468825.48"
"050047","050047","33.8",""
"043653","043653","39.3",""
"47266.0","","","184472.17"
"049437","049437","34.2",""
"48629.0","","","129765.64"
"048116","048116","32.8",""
"044743","044743","40.5",""
"50724.0","","","206398.12"
"65680.0","","","272144.21"
"045187","045187","33.9",""
"045229","045229","37.0",""
"48488.0","","","797896.72"
"049601","049601","43.5",""
"049684","049684","30.2",""
"047373","047373","33.4",""
"44206.0","","","1995686.88"
"49817.0","","","29063.67"
"046524","046524","36.9",""
"050096","050096","48.9",""
"045591","045591","39.0",""
"45773.0","","","686313.25"
"044842","044842","29.2",""
"048082","048082","36.9",""
"048439","048439","40.6",""
"45328.0","","","75555.85"
"049940","049940","37.2",""
"49700.0","","","197328.00"
"045914","045914","38.8",""
"50682.0","","","73303.68"
"091397","091397","36.5",""
"50179.0","","","250891.60"
"47837.0","","","188969.86"
"048140","048140","32.4",""
"45351.0","","","253948.16"
"46847.0","","","249449.53"
"049783","049783","22.3",""
"043737","043737","31.9",""
"44156.0","","","730778.51"
"049866","049866","30.4",""
"43950.0","","","6864032.09"
"050724","050724","32.8",""
"050054","050054","32.2",""
"044107","044107","45.3",""
"48215.0","","","40872.46"
"48991.0","","","173708.45"
"050633","050633","36.6",""
"44776.0","","","297536.49"
"47191.0","","","66994.73"
"48611.0","","","160527.32"
"048009","048009","45.2",""
"49650.0","","","189174.42"
"047076","047076","34.8",""
"049650","049650","35.5",""
"49718.0","","","32087.59"
"047167","047167","31.7",""
"045823","045823","30.1",""
"045765","045765","37.7",""
"49361.0","","","7472.12"
"047696","047696","31.7",""
"044735","044735","40.2",""
"47720.0","","","326496.95"
"045047","045047","34.9",""
"45591.0","","","357508.96"
"45906.0","","","232439.69"
"050229","050229","32.1",""
"43968.0","","","2925860.71"
"048736","048736","51.6",""
"044081","044081","54.3",""
"050419","050419","30.9",""
"43919.0","","","1146291.86"
"45229.0","","","102031.19"
"046060","046060","36.6",""
