"Building IRN","Building Name","District IRN","District Name","County","Region","Open/Closed Status (as of 9/1/2014)","Feeder IRN","School Type","Disability Status","Read 3rd Grade 2013-14 % Proficient or above","Math 3rd Grade 2013-14 % Proficient or above","Read 4th Grade 2013-14 % Proficient or above","Math 4th Grade 2013-14 % Proficient or above","Read 5th Grade 2013-14 % Proficient or above","Math 5th Grade 2013-14 % Proficient or above","Science 5th Grade 2013-14 % Proficient or above","Read 6th Grade 2013-14 % Proficient or above","Math 6th Grade 2013-14 % Proficient or above","Read 7th Grade 2013-14 % Proficient or above","Math 7th Grade 2013-14 % Proficient or above","Read 8th Grade 2013-14 % Proficient or above","Math 8th Grade 2013-14 % Proficient or above","Science 8th Grade 2013-14 % Proficient or above","Read OGT 2013-14 % Proficient or above","Math OGT 2013-14 % Proficient or above","Write OGT 2013-14 % Proficient or above","Social Studies OGT 2013-14 % Proficient or above","Science OGT 2013-14 % Proficient or above","Read 11th Grade 2013-14 % at or above Proficient","Math 11th Grade 2013-14 % at or above Proficient","Write 11th Grade 2013-14 % at or above Proficient","Social Studies 11th Grade 2013-14 % at or above Proficient","Science 11th Grade 2013-14 % at or above Proficient","Attendance rate 2013-14","	2013 4-Year Longitudinal Graduation Rate - Class of 2013","	2013 5-Year Longitudinal Graduation Rate - Class of 2012","Enrollment","% of Total Enrollment"
"000197","Hamilton Alternative Academy","000197","Hamilton Alternative Academy","Franklin","Region 11","Open","","Dropout Recovery","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000197","Hamilton Alternative Academy","000197","Hamilton Alternative Academy","Franklin","Region 11","Open","","Dropout Recovery","NonDisabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","84.4","32.0","39.3","42","85.7"
"000208","Adena High School","049494","Adena Local","Ross","Region 15","Open","******","High School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","50.0","25.0","43.8","50.0","31.3","92.6","94.1","55.0","55","15.2"
"000208","Adena High School","049494","Adena Local","Ross","Region 15","Open","******","High School","NonDisabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","86.2",">95.0","87.9","93.8",">95.0",">95.0",">95.0",">95.0",">95.0","95.0","91.1","91.5","308","85.1"
"000222","Wildwood Environmental Academy","000222","Wildwood Environmental Academy","Lucas","Region 1","Open","","Community School Startup","Disabled","--","--","60.0","20.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.4","--","--","72","22.7"
"000222","Wildwood Environmental Academy","000222","Wildwood Environmental Academy","Lucas","Region 1","Open","","Community School Startup","NonDisabled","80.0","85.0","88.0","64.0","58.8","52.9","70.6","69.2","46.2",">95.0","71.4","91.3","69.6","60.9",">95.0","90.9","90.9","90.9",">95.0","--","--","--","--","--","94.7","--","--","245","77.3"
"000224","Adlai Stevenson School","043786","Cleveland Municipal","Cuyahoga","Region 3","Open","018382","Elementary School","Disabled","--","--","60.0","40.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.0","--","--","85","25.4"
"000224","Adlai Stevenson School","043786","Cleveland Municipal","Cuyahoga","Region 3","Open","018382","Elementary School","NonDisabled","66.7","55.6","64.0","56.0","44.0","20.0","0.0","70.0","25.0","60.0","16.0","55.3","55.3","5.3","--","--","--","--","--","--","--","--","--","--","93.5","--","--","249","74.6"
"000231","Unioto Elementary","049536","Union-Scioto Local","Ross","Region 15","Open","065532","Elementary School","Disabled","81.3","68.8","31.3","37.5","36.0","20.0","40.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","92.4","--","--","97","10.2"
"000231","Unioto Elementary","049536","Union-Scioto Local","Ross","Region 15","Open","065532","Elementary School","NonDisabled","93.2","88.1",">95.0","90.2","85.2","72.8","81.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","857","89.8"
"000232","Adrian Elementary School","044792","South Euclid-Lyndhurst City","Cuyahoga","Region 3","Open","014613","Elementary School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","28","9.9"
"000232","Adrian Elementary School","044792","South Euclid-Lyndhurst City","Cuyahoga","Region 3","Open","014613","Elementary School","NonDisabled","93.0","75.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","254","89.8"
"000234","Ella P. Stewart Academy for Girls","044909","Toledo City","Lucas","Region 1","Open","008262","Elementary School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","31","12.3"
"000234","Ella P. Stewart Academy for Girls","044909","Toledo City","Lucas","Region 1","Open","008262","Elementary School","NonDisabled","75.0","53.6","75.9","41.4","52.0","52.0","28.0","72.7","72.7",">95.0","85.2","94.7","94.7","21.1","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","221","87.7"
"000236","Ohio Connections Academy, Inc","000236","Ohio Connections Academy, Inc","Cuyahoga","Region 3","Open","","Community School Startup","Disabled","--","--","--","--","--","--","--","56.5","39.1","42.9","17.9","70.8","41.7","33.3","66.7","33.3","54.5","63.6","51.5","90.9","57.6","84.8","87.9","69.7",">95.0","44.0","65.6","322","9.8"
"000236","Ohio Connections Academy, Inc","000236","Ohio Connections Academy, Inc","Cuyahoga","Region 3","Open","","Community School Startup","NonDisabled","82.9","67.1","88.7","69.9","73.8","53.9","72.3","89.0","71.3","92.0","71.7","92.2","78.4","70.1",">95.0","87.1","95.0","89.6","84.2",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","55.9","61.9","2950","90.2"
"000241","Quaker Digital Academy","000241","Quaker Digital Academy","Tuscarawas","Region 12","Open","","Dropout Recovery","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","86.2","43.8","60.0","49","7.3"
"000241","Quaker Digital Academy","000241","Quaker Digital Academy","Tuscarawas","Region 12","Open","","Dropout Recovery","NonDisabled","75.0","41.7","72.7","52.2","48.1","37.0","44.4","81.8","31.8","83.3","40.0","92.1","57.9","63.2","92.9","75.7","84.3","64.3","64.3",">95.0","92.5",">95.0","94.0","89.6","85.9","31.3","37.3","618","92.7"
"000242","North Union Elementary School","050336","North Union Local","Union","Region 11","Open","026385","Elementary School","Disabled","68.4","63.2","90.9","45.5","82.4","70.6","76.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.5","--","--","106","15.7"
"000242","North Union Elementary School","050336","North Union Local","Union","Region 11","Open","026385","Elementary School","NonDisabled","92.3","87.9",">95.0","84.4","83.3","80.0","86.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","568","84.3"
"000257","Alexander Elementary School","045906","Alexander Local","Athens","Region 16","Open","000315","Elementary School","Disabled","57.1","53.6",">95.0","70.0","31.3","37.5","43.8","57.1","21.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.0","--","--","152","17.7"
"000257","Alexander Elementary School","045906","Alexander Local","Athens","Region 16","Open","000315","Elementary School","NonDisabled","89.5","87.4","88.2","84.3","74.2","74.2","82.5","92.1","86.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.9","--","--","706","82.3"
"000265","Albion Elementary School","044545","North Royalton City","Cuyahoga","Region 3","Open","099416","Elementary School","Disabled","36.4","27.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","36","9.4"
"000265","Albion Elementary School","044545","North Royalton City","Cuyahoga","Region 3","Open","099416","Elementary School","NonDisabled",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","344","90.3"
"000270","Main Street School","044560","Norwalk City","Huron","Region 2","Open","028050","Elementary School","Disabled","--","--","--","--","66.7","38.9","44.4","64.0","44.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.1","--","--","46","10.8"
"000270","Main Street School","044560","Norwalk City","Huron","Region 2","Open","028050","Elementary School","NonDisabled","--","--","--","--","86.7","76.6","79.8","94.8","85.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","381","89.2"
"000282","Greater Ohio Virtual School","000282","Greater Ohio Virtual School","Warren","Region 13","Open","","Dropout Recovery","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","36.4","8.3","36.4","25.0","8.3","46.2","14.3","14.3","30.8","15.4",">95.0","37.5","39.1","127","24.3"
"000282","Greater Ohio Virtual School","000282","Greater Ohio Virtual School","Warren","Region 13","Open","","Dropout Recovery","NonDisabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","66.7","57.9","61.5","65.8","55.3",">95.0","81.1","86.5","76.5","80.4",">95.0","44.6","47.6","395","75.5"
"000288","Auglaize County Educational Academy","000288","Auglaize County Educational Academy","Allen","Region 6","Open","","Dropout Recovery","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","53.8","--","28","35.9"
"000288","Auglaize County Educational Academy","000288","Auglaize County Educational Academy","Allen","Region 6","Open","","Dropout Recovery","NonDisabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","48.5","61.3","49","62.8"
"000291","Malvern Middle School","046177","Brown Local","Carroll","Region 12","Open","022368","Middle School","Disabled","--","--","--","--","--","--","--","45.5","45.5","60.0","20.0","75.0","25.0","33.3","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","33","21.0"
"000291","Malvern Middle School","046177","Brown Local","Carroll","Region 12","Open","022368","Middle School","NonDisabled","--","--","--","--","--","--","--","94.7","81.6","94.6","59.5","92.0","84.0","60.0","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","124","79.0"
"000296","Summit Academy Community School-Columbus","000296","Summit Academy Community School-Columbus","Franklin","Region 11","Open","","Community School Startup","Disabled","--","--","53.8","46.2","10.0","10.0","10.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.7","--","--","47","74.6"
"000296","Summit Academy Community School-Columbus","000296","Summit Academy Community School-Columbus","Franklin","Region 11","Open","","Community School Startup","NonDisabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","16","25.4"
