"School IRN","% enrolled less than 3 years","Virtual"
"018291","018291","65.8","Site Based"
"034207","","96.7","Site Based"
"014597","014597","57.0","Site Based"
"012617","012617","53.0","Site Based"
"035626","","21.9","Site Based"
"012963","012963","58.6","Site Based"
"009803","","17.1","Site Based"
"011528","","24.0","Site Based"
"123398","","17.6","Site Based"
"042010","","91.3","Site Based"
"151944","151944","47.2","Site Based"
"032938","","30.6","Site Based"
"043786","","","Site Based"
"043836","","","Site Based"
"027326","","15.0","Site Based"
"009738","","86.1","Site Based"
"036285","","14.0","Site Based"
"148973","","","Site Based"
"004184","","23.2","Site Based"
"062778","062778","49.0","Site Based"
"038414","","5.7","Site Based"
"040352","040352","62.5","Site Based"
"004341","004341","70.6","Site Based"
"004614","","17.6","Site Based"
"015404","015404","62.1","Site Based"
"018127","","21.8","Site Based"
"125765","125765","57.6","Site Based"
"023317","023317","57.6","Site Based"
"037408","037408","65.3","Site Based"
"062380","","19.2","Site Based"
"005967","005967","54.0","Site Based"
"031831","","18.4","Site Based"
"009936","","18.1","Site Based"
"003749","","21.3","Site Based"
"008045","008045","61.0","Site Based"
"034041","034041","52.4","Site Based"
"022319","022319","19.7","Site Based"
"004507","","21.0","Site Based"
"008286","008286","63.6","Site Based"
"008287","008287","100.0","Site Based"
"008280","008280","80.5","Site Based"
"008281","008281","82.8","Site Based"
"009029","","39.6","Site Based"
"008283","","100.0","Site Based"
"009027","009027","58.5","Site Based"
"008289","","100.0","Site Based"
"028936","","6.0","Site Based"
"012544","","","Site Based"
"012545","012545","100.0","Site Based"
"122622","","19.5","Site Based"
"005793","005793","60.0","Site Based"
"000652","","","Site Based"
"038786","038786","46.2","Site Based"
"007088","","22.4","Site Based"
"013367","","15.8","Site Based"
"008995","","21.8","Site Based"
"017947","017947","51.4","Site Based"
"121533","121533","64.9","Site Based"
"022954","022954","72.3","Site Based"
"041715","041715","50.5","Site Based"
"026542","026542","80.5","Site Based"
"044206","","","Site Based"
"146332","146332","44.0","Site Based"
"139220","","14.0","Site Based"
"002907","","97.1","Site Based"
"011708","","11.4","Site Based"
"011707","011707","","Site Based"
"134197","134197","100.0","Site Based"
"007625","","15.5","Site Based"
"011700","011700","65.8","Site Based"
"010036","010036","100.0","Site Based"
"013962","","","Site Based"
"022558","022558","47.8","Site Based"
"013967","","100.0","Site Based"
"027839","027839","74.1","Site Based"
"139204","139204","25.4","Site Based"
"022046","022046","72.3","Site Based"
"041947","041947","59.7","Site Based"
"039537","039537","58.4","Site Based"
"038828","038828","62.4","Site Based"
"133371","","","Site Based"
"009076","009076","70.1","Site Based"
"025023","","19.8","Site Based"
"007260","007260","53.2","Site Based"
"036723","036723","63.1","Site Based"
"125187","","5.4","Site Based"
"009077","","12.0","Site Based"
"028514","028514","59.1","Site Based"
"025056","","12.5","Site Based"
"013706","013706","57.6","Site Based"
"044222","","","Site Based"
"111146","111146","50.1","Site Based"
"037663","","13.2","Site Based"
"142034","","20.3","Site Based"
"026070","","12.5","Site Based"
"148791","148791","54.6","Site Based"
"007864","007864","65.7","Site Based"
"020065","020065","67.2","Site Based"
"038489","038489","53.4","Site Based"
"006841","","36.1","Site Based"
"002832","","23.0","Site Based"
"067926","","25.9","Site Based"
"029751","","16.2","Site Based"
"039735","039735","72.1","Site Based"
"133512","133512","100.0","Site Based"
"064865","","22.1","Site Based"
"025247","","18.8","Site Based"
"041525","","16.1","Site Based"
"007468","","20.4","Site Based"
"007567","007567","66.7","Site Based"
"013147","013147","","Site Based"
"013146","013146","100.0","Site Based"
"013144","","43.2","Site Based"
"013148","","","Site Based"
"048850","","","Site Based"
"040147","040147","57.2","Site Based"
"006593","","13.7","Site Based"
"061804","061804","68.3","Site Based"
"112094","","13.9","Site Based"
"032482","032482","84.6","Site Based"
"038133","","24.6","Site Based"
"024869","024869","53.0","Site Based"
"016287","016287","46.9","Site Based"
"036921","036921","70.4","Site Based"
"023457","","12.4","Site Based"
"016519","016519","36.8","Site Based"
"006601","","93.9","Site Based"
"016048","","13.2","Site Based"
"041418","041418","60.4","Site Based"
"062356","","16.2","Site Based"
"142141","142141","37.3","Site Based"
"000509","000509","72.2","Site Based"
"137273","","27.2","Site Based"
"016261","016261","77.0","Site Based"
"001057","001057","65.9","Site Based"
"017392","017392","55.2","Site Based"
"000502","","","Site Based"
"000501","","20.7","Site Based"
"000506","","","Site Based"
"000505","000505","64.1","Site Based"
"111062","","96.4","Site Based"
"138859","","18.2","Site Based"
"023135","023135","55.6","Site Based"
"094607","","20.4","Site Based"
"151134","","","Site Based"
"040097","","13.0","Site Based"
"050401","","","Site Based"
"001693","001693","71.7","Site Based"
"029686","029686","63.6","Site Based"
"037093","037093","66.0","Site Based"
"038224","","19.3","Site Based"
"135046","135046","36.7","Site Based"
"064147","","37.5","Site Based"
"003830","","18.0","Site Based"
"143149","","","Site Based"
"135517","","24.4","Site Based"
"013034","013034","100.0","Site Based"
"030429","","19.4","Site Based"
"029041","","23.2","Site Based"
"013030","013030","100.0","Site Based"
"000482","","","Site Based"
"006932","006932","36.7","Site Based"
"061382","061382","80.4","Site Based"
"016600","016600","60.5","Site Based"
"019521","019521","62.4","Site Based"
"021949","021949","43.6","Site Based"
"030783","030783","55.6","Site Based"
"022921","022921","71.4","Site Based"
"000475","000475","71.5","Site Based"
"000473","","","Site Based"
"000472","000472","35.6","Site Based"
"000471","","100.0","Site Based"
"000470","000470","64.4","Site Based"
"040451","040451","45.6","Site Based"
"027060","","20.4","Site Based"
"041160","041160","53.3","Site Based"
"039065","039065","56.9","Site Based"
"146050","146050","70.6","Site Based"
"028050","","20.0","Site Based"
"065391","065391","48.1","Site Based"
"021543","021543","45.5","Site Based"
"030700","030700","61.3","Site Based"
"043018","","21.3","Site Based"
"006338","","22.0","Site Based"
"002659","002659","55.2","Site Based"
"015743","015743","54.2","Site Based"
"010603","010603","46.0","Site Based"
"038653","","18.9","Site Based"
"039263","","48.6","Site Based"
"025809","","29.2","Site Based"
"151043","","","Site Based"
"064717","064717","58.7","Site Based"
"144881","144881","22.4","Site Based"
"114819","","19.3","Site Based"
"001875","001875","40.4","Site Based"
"000879","","40.4","Site Based"
"000878","000878","76.7","Site Based"
"020123","","26.1","Site Based"
"000590","","","Site Based"
"020941","","14.2","Site Based"
"016469","016469","77.1","Site Based"
"000870","000870","63.1","Site Based"
"000877","000877","48.5","Site Based"
"000875","000875","82.7","Site Based"
"143560","143560","80.2","Site Based"
"000653","","30.4","Site Based"
"143214","143214","76.0","Site Based"
"034389","034389","62.2","Site Based"
"061960","","20.0","Site Based"
"000654","","","Site Based"
"010421","010421","48.9","Site Based"
"012823","012823","57.3","Site Based"
"026427","026427","53.4","Site Based"
"037879","037879","74.6","Site Based"
"026930","","20.4","Site Based"
"023358","","18.1","Site Based"
"000893","","12.9","Site Based"
"000892","000892","55.6","Site Based"
"029454","","12.6","Site Based"
"024687","024687","54.6","Site Based"
"028159","","27.0","Site Based"
"123026","123026","21.7","Site Based"
"149120","","","Site Based"
"001271","001271","47.6","Site Based"
"005025","005025","23.2","Site Based"
"031153","031153","53.6","Site Based"
"000592","","","Site Based"
"027888","","18.2","Site Based"
"010041","","13.8","Site Based"
"070086","070086","66.1","Site Based"
"034272","","17.0","Site Based"
"036517","","18.6","Site Based"
"064667","","20.9","Site Based"
