"Building IRN","Building Name","District IRN","District Name","County","Region","Open/Closed Status (as of 9/1/2014)","Feeder IRN","School Type","Mobility Status","Read 3rd Grade 2013-14 % Proficient or above","Math 3rd Grade 2013-14 % Proficient or above","Read 4th Grade 2013-14 % Proficient or above","Math 4th Grade 2013-14 % Proficient or above","Read 5th Grade 2013-14 % Proficient or above","Math 5th Grade 2013-14 % Proficient or above","Science 5th Grade 2013-14 % Proficient or above","Read 6th Grade 2013-14 % Proficient or above","Math 6th Grade 2013-14 % Proficient or above","Read 7th Grade 2013-14 % Proficient or above","Math 7th Grade 2013-14 % Proficient or above","Read 8th Grade 2013-14 % Proficient or above","Math 8th Grade 2013-14 % Proficient or above","Science 8th Grade 2013-14 % Proficient or above","Read OGT 2013-14 % Proficient or above","Math OGT 2013-14 % Proficient or above","Write OGT 2013-14 % Proficient or above","Social Studies OGT 2013-14 % Proficient or above","Science OGT 2013-14 % Proficient or above","Read 11th Grade 2013-14 % at or above Proficient","Math 11th Grade 2013-14 % at or above Proficient","Write 11th Grade 2013-14 % at or above Proficient","Social Studies 11th Grade 2013-14 % at or above Proficient","Science 11th Grade 2013-14 % at or above Proficient","Attendance rate 2013-14","	2013 4-Year Longitudinal Graduation Rate - Class of 2013","	2013 5-Year Longitudinal Graduation Rate - Class of 2012","Enrollment","% of Total Enrollment"
"014712","Groveport Madison Middle School Central","046979","Groveport Madison Local","Franklin","Region 11","Open","014704","Middle School","Longevity3orMore","--","--","--","--","--","--","--","86.7","74.7","85.5","75.0","84.5","76.2","67.9","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","236","52.4"
"014720","Grover Hill Elementary School","049031","Wayne Trace Local","Paulding","Region 1","Open","029470","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"014720","Grover Hill Elementary School","049031","Wayne Trace Local","Paulding","Region 1","Open","029470","Elementary School","Longevity1to2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","95","40.8"
"014720","Grover Hill Elementary School","049031","Wayne Trace Local","Paulding","Region 1","Open","029470","Elementary School","Longevity3orMore","78.1","81.3","94.4","77.8","75.0","79.2","87.5","80.0","76.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","129","55.4"
"014787","Gurney Elementary School","045286","Chagrin Falls Exempted Village","Cuyahoga","Region 3","Open","033548","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"014787","Gurney Elementary School","045286","Chagrin Falls Exempted Village","Cuyahoga","Region 3","Open","033548","Elementary School","Longevity1to2",">95.0","93.9","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","360","72.4"
"014787","Gurney Elementary School","045286","Chagrin Falls Exempted Village","Cuyahoga","Region 3","Open","033548","Elementary School","Longevity3orMore",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","134","27.0"
"014795","Badger Elementary School","050179","Joseph Badger Local","Trumbull","Region 5","Open","038364","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"014795","Badger Elementary School","050179","Joseph Badger Local","Trumbull","Region 5","Open","038364","Elementary School","Longevity1to2","--","--","71.4","71.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","158","56.0"
"014795","Badger Elementary School","050179","Joseph Badger Local","Trumbull","Region 5","Open","038364","Elementary School","Longevity3orMore","84.7","81.4","82.5","72.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","116","41.1"
"014803","William S Guy Middle School","050195","Liberty Local","Trumbull","Region 5","Open","020388","Middle School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","11","3.2"
"014803","William S Guy Middle School","050195","Liberty Local","Trumbull","Region 5","Open","020388","Middle School","Longevity1to2","--","--","--","--","48.1","66.7","66.7","77.3","72.7","78.3","60.9","80.0","70.0","70.0","--","--","--","--","--","--","--","--","--","--","92.7","--","--","85","24.4"
"014803","William S Guy Middle School","050195","Liberty Local","Trumbull","Region 5","Open","020388","Middle School","Longevity3orMore","--","--","--","--","73.2","76.8","83.9","89.1","90.9","81.7","73.2",">95.0","75.8","92.4","--","--","--","--","--","--","--","--","--","--","94.8","--","--","254","72.8"
"014811","Clyde C Hadden Elementary School","047894","Riverside Local","Lake","Region 4","Open","061895","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"014811","Clyde C Hadden Elementary School","047894","Riverside Local","Lake","Region 4","Open","061895","Elementary School","Longevity1to2","81.8","90.9","83.3",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","113","54.6"
"014811","Clyde C Hadden Elementary School","047894","Riverside Local","Lake","Region 4","Open","061895","Elementary School","Longevity3orMore","88.0","84.0","70.0","90.0","71.4","68.6","77.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","88","42.5"
"014845","Hale Road Elementary School","047894","Riverside Local","Lake","Region 4","Open","061895","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","12","2.8"
"014845","Hale Road Elementary School","047894","Riverside Local","Lake","Region 4","Open","061895","Elementary School","Longevity1to2","61.5","71.4","87.5","87.5","80.0","70.0","70.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","217","50.7"
"014845","Hale Road Elementary School","047894","Riverside Local","Lake","Region 4","Open","061895","Elementary School","Longevity3orMore","92.6","90.9","92.6",">95.0","71.0","68.6","68.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","199","46.5"
"014860","Hambden Elementary School","047183","Chardon Local","Geauga","Region 4","Open","005884","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"014860","Hambden Elementary School","047183","Chardon Local","Geauga","Region 4","Open","005884","Elementary School","Longevity1to2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","116","47.2"
