"School IRN","School Name","Street Address","City","State","Postal Code","Virtual","Open Status","Avg Grade","Letter grade performance index","Public Funding","% Spent in Classroom","Avg Teacher Experience"
"151142","Lorain K-12 Digital Academy","1800 West 40th Street","Lorain","OH","44053","ESchool                                                                ","Open","D-","D","1104596.14","90.7","0"
"000222","Wildwood Environmental Academy","1546 Dartford Rd","Maumee","OH","43537-1374","Site Based","Open","D-","C","2623773.59","89.8","4"
"011948","Imagine Cleveland Academy","3443 E 93rd St","Cleveland","OH","44104-5252","Site Based","Open","C-","D","1481098.76","97.9","2"
"011947","Imagine Akron Academy","1585 Frederick Blvd","Akron","OH","44320-4000","Site Based","Open","NA","NA","586487.08","97.3","3"
"011381","Greater Summit County Early Learning Center","2141 Pickle Rd","Akron","OH","44312-4221","Site Based","Open","A-","A","761522.73","97.6","1"
"000138","Pathway School of Discovery","173 Avondale Dr","Dayton","OH","45404-2123","Site Based","Open","C-","C","5151463.11","92.7","6"
"000139","Alliance Academy of Cincinnati","1712 Duck Creek Rd","Cincinnati","OH","45207-1644","Site Based","Open","D-","D","2634464.72","90.5","5"
"008064","Academy of Arts and Sciences","201 W Erie Ave","Lorain","OH","44052-1641","Site Based","Open","NA","NA","1961114.26","82.3","6"
"008065","Imani Learning Academy","728 Parkside Blvd","Toledo","OH","43607-3858","Site Based","Closed","D","D","954569.78","92.2","3"
"008061","Arts and Science Preparatory Academy","2711 Church Ave","Cleveland","OH","44113-2909","Site Based","Closed","D+","D","857403.12","84.8","3"
"007995","Cleveland Arts and Social Sciences Academy","10701 Shaker Blvd","Cleveland","OH","44104-3752","Site Based","Open","C+","C","2292704.38","86.1","5"
"007999","Charles School at Ohio Dominican University","3950 Indianola Ave","Columbus","OH","43214-3158","Site Based","Open","B-","B","2515197.97","96.8","2"
"012010","Cleveland College Preparatory School","4906 Fleet Ave","Cleveland","OH","44105-3328","Site Based","Open","C-","C","2316980.43","84.9","3"
"012011","Columbus Performance Academy","2 Easton Oval Ste 525","Columbus","OH","43219-7008","Site Based","Open","D","D","1461597.53","100.0","0"
"000417","Buckeye On-Line School for Success","119 E Fifth St","East Liverpool","OH","43920-3030","ESchool                                                                ","Open","D","C","7537679.50","89.4","9"
"143503","Lake Erie Academy","2740 W Central Ave","Toledo","OH","43606-3452","Site Based","Open","F","D","1906614.47","83.6","5"
"133256","Constellation Schools: Parma Community","7667 Day Dr Fl 1ST","Parma","OH","44129-5603","Site Based","Open","C","B","7341852.60","90.2","0"
"000305","Summit Academy Community School-Warren","2106 Arbor Ave SE","Warren","OH","44484-5225","Site Based","Open","C","D","1888576.07","97.0","5"
"000306","Summit Academy Community School - Cincinnati","1660 Sternblock Ln","Cincinnati","OH","45237-3805","Site Based","Open","C","D","1779343.83","97.0","2"
"000301","Summit Academy Secondary - Lorain","1051 E St","Lorain","OH","44052-2134","Site Based","Open","D-","D","1175147.20","96.9","4"
"000303","Summit Academy Secondary - Youngstown","1400 Oak Hill Ave","Youngstown","OH","44507-1018","Site Based","Open","F","F","3673953.40","96.9","5"
"000302","Summit Academy Community School-Parma","5868 Stumph Rd","Parma","OH","44130-1736","Site Based","Open","D+","D","3360936.81","96.8","5"
"000781","Cincinnati Speech & Reading Intervention Center","1812 Central Pkwy","Cincinnati","OH","45214-2304","Site Based","Open","F","D","1544533.98","85.1","0"
"000780","Midnimo Cross Cultural Community School","1500 W 3rd Ave Ste 125","Columbus","OH","43212-2883","Site Based","Open","C","D","530371.27","81.6","2"
"000236","Ohio Connections Academy, Inc","3740 Euclid Ave Ste 101","Cleveland","OH","44115-2229","ESchool                                                                ","Open","D-","C","20857386.49","82.7","9"
"011972","Graham Expeditionary Middle School","3950 Indianola Ave","Columbus","OH","43214-3167","Site Based","Open","B-","C","1350082.31","95.2","2"
"014121","Imagine Leadership Academy","2405 Romig Rd","Akron","OH","44320-3826","Site Based","Open","D+","D","1898012.20","NA","6"
"011976","Horizon Science Academy Dayton Downtown","121 S Monmouth St","Dayton","OH","45403-2127","Site Based","Open","D-","D","1840953.27","90.8","2"
"142901","Life Skills Center  of Canton","1100 Cleveland Ave NW","Canton","OH","44702-1816","Site Based","Open","D-","C","1050554.19","82.8","7"
"008278","Noble Academy-Cleveland","1200 E 200th St","Euclid","OH","44117-1111","Site Based","Open","D+","C","2365026.49","89.1","4"
"012951","Columbus Collegiate Academy - West","300 Dana Ave","Columbus","OH","43223-1310","Site Based","Open","C","C","986877.86","75.8","0"
"012009","Zenith Academy East","2261 S Hamilton Rd","Columbus","OH","43232-4301","Site Based","Open","C-","C","2041623.21","95.8","1"
"134148","Aurora Academy","541 Utah St","Toledo","OH","43605-2299","Site Based","Open","C","C","1120774.28","82.0","0"
"013994","Albert Einstein Academy for Letters, Arts and Sciences-Ohio","3550 Crocker Rd","Westlake","OH","44145-6314","Site Based","Open","D","B","726777.17","NA","7"
"013999","Rise & Shine Academy","3248 Warsaw St","Toledo","OH","43608-1852","Site Based","Open","C","D","365542.17","NA","5"
"134098","Constellation Schools: Old Brooklyn Community Elementary","4430 State Rd","Cleveland","OH","44109-4705","Site Based","Open","B-","B","2219391.38","90.1","0"
"013198","Brookwood Academy","2685 E Livingston Ave","Columbus","OH","43209-2961","Site Based","Open","D-","F","3089587.54","92.3","0"
"013199","Nexus Academy of Cleveland","3615 Superior Ave E Bldg 44","Cleveland","OH","44114-4138","Site Based","Open","D-","D","1287213.34","83.2","39"
"013195","Academy of Educational Excellence","4747 Heatherdowns Blvd.","Toledo","OH","43614","Site Based","Open","C-","D","508626.05","82.0","6"
"133322","Summit Academy Community School Alternative Learners-Lorain","2140 E 36th St","Lorain","OH","44055-2756","Site Based","Open","C-","D","2514153.60","97.2","4"
"000938","Premier Academy of Ohio","1555 Elaine Rd","Columbus","OH","43227-2347","Site Based","Open","D+","D","794679.82","80.1","4"
"000420","Columbus Bilingual Academy","35 Midland Ave","Columbus","OH","43223-1064","Site Based","Open","D+","D","982294.89","85.0","0"
"000930","Cleveland Entrepreneurship Preparatory School","1417 E 36th St Fl 2","Cleveland","OH","44114-4116","Site Based","Open","B-","C","2332595.61","79.2","4"
"143537","Virtual Community School Of Ohio","340 Waggoner Rd","Reynoldsburg","OH","43068-9707","ESchool                                                                ","Open","D-","D","6045330.73","87.6","16"
"132787","Springfield Academy of Excellence","623 S Center St","Springfield","OH","45506-2209","Site Based","Open","C-","D","1803610.04","90.3","2"
"000338","Horizon Science Academy Toledo","2600 W Sylvania Ave","Toledo","OH","43613-4300","Site Based","Open","D","C","4116988.78","89.8","3"
"133819","Lincoln Preparatory School","4215 Robert Ave","Cleveland","OH","44109-1255","Site Based","Open","C-","C","1557166.98","96.4","10"
"151167","Ridgedale Community School","3103 Hillman Ford Rd","Morral","OH","43337-9302","Site Based","Open","NA","NA","192537.61","86.3","150"
"011967","Richland Academy School of Excellence","75 N Walnut St","Mansfield","OH","44902-1211","Site Based","Open","D+","C","1367009.74","82.3","0"
"014139","Imagine Columbus Primary School","4656 Heaton Rd","Columbus","OH","43229-6612","Site Based","Open","D","F","908269.66","NA","0"
"014132","STEAM Academy of  Cincinnati","6000 Murray Ave","Cincinnati","OH","45227-2973","Site Based","Open","D","D","400779.88","NA","0"
"014130","The Next Frontier Academy","1127 Copley Rd","Akron","OH","44320-2709","Site Based","Open","NA","NA","249020.96","NA","3"
"014136","Mosaica Online of Ohio","1333 Morse Rd","Columbus","OH","43229-6322","Site Based","Inactive","NA","NA","160631.52","NA","4"
"010182","Performance Academy Eastland","2220 S Hamilton Rd","Columbus","OH","43232-4304","Site Based","Open","D-","D","2139474.80","100.0","0"
"010180","Mount Auburn International Academy","244 Southern Ave","Cincinnati","OH","45219-3023","Site Based","Open","D","D","3356726.15","93.6","1"
"011291","Village Preparatory School","1415 E 36th St Fl 2","Cleveland","OH","44114-4116","Site Based","Open","D-","C","3442771.08","82.7","3"
"012852","Citizens Academy East","12523 Woodside Ave","Cleveland","OH","44108-2422","Site Based","Open","C-","B","1741017.93","80.5","4"
"012030","Near West Intergenerational School","3805 Terrett Ave","Cleveland","OH","44113-2847","Site Based","Open","C","B","1017275.40","83.4","4"
"012031","Entrepreneurship Preparatory School - Woodland Hills Campus","9201 Crane Ave","Cleveland","OH","44105-1627","Site Based","Open","B-","C","1718803.33","76.5","2"
"012033","Foxfire Intermediate School","2805 Pinkerton Ln","Zanesville","OH","43701-8593","Site Based","Open","D-","D","1150299.58","90.2","2"
"012105","Southside Academy","1833 Market St","Youngstown","OH","44507-1137","Site Based","Open","D-","D","1924994.45","80.1","4"
"134221","Colonial Prep Academy","2199 5th St SW","Akron","OH","44314-2405","Site Based","Open","C-","D","1249468.00","96.3","10"
"133330","T.C.P. World Academy","6000 Ridge Ave","Cincinnati","OH","45213-1624","Site Based","Open","C","B","3414322.96","91.7","6"
"000838","Horizon Science Academy-Denison Middle School","1700 Denison Ave","Cleveland","OH","44109-2925","Site Based","Open","D-","D","2412921.24","90.8","2"
"143529","North Dayton School Of Science & Discovery","3901 Turner Rd","Dayton","OH","45415-3654","Site Based","Open","D+","D","3769423.02","91.6","9"
"014149","Dayton SMART Elementary School","601 S Keowee St","Dayton","OH","45410-1168","Site Based","Open","NA","NA","446250.24","NA","0"
"014147","East Preparatory Academy","4129 Superior Ave","Cleveland","OH","44103-1129","Site Based","Open","C-","D","460754.16","NA","2"
"000321","Constellation Schools: Old Brooklyn Community Middle","5730 Broadview Rd","Parma","OH","44134-1602","Site Based","Open","B-","B","1369232.70","91.5","0"
"000320","Constellation Schools: Lorain Community Middle","5730 Broadview Rd","Parma","OH","44134-1602","Site Based","Open","C","C","907060.89","94.6","0"
"014094","Lawrence County Academy","11627 State Route 243","Chesapeake","OH","45619-7962","Site Based","Open","NA","F","797788.42","NA","51"
"014090","Berwyn East Academy","1850 Bostwick Rd","Columbus","OH","43227-3374","Site Based","Open","D","C","484026.13","NA","0"
"014091","Hope Learning Academy of Toledo","4234 Monroe St","Toledo","OH","43606-1938","Site Based","Open","D","D","389425.29","NA","3"
"010205","L. Hollingworth School for Talented and Gifted","653 Miami St","Toledo","OH","43605-2277","Site Based","Open","C-","D","1687228.86","79.7","2"
"012026","Constellation Schools: Collinwood Village Academy","5730 Broadview Rd","Parma","OH","44134-1602","Site Based","Open","D-","D","785514.58","91.0","0"
"012025","Constellation Schools: Stockyard Community Middle","5730 Broadview Rd","Parma","OH","44134-1602","Site Based","Open","D","D","637554.51","92.6","1"
