"School IRN","School Name","Address","City","State","Postal Code","County","District IRN","District Name","Grades Served","# of students","Letter grade standards met","Letter grade performance index","Performance index score","Letter grade overall value-add","Letter grade gifted value-add","Letter grade disabled value-add","Letter grade lowest 20% value-add","Letter grade of AMO","Attendance rate","Graduation rate","Read 3rd Grade % at or above Proficient","Letter grade of four year graduation rate","% of kids in poverty","% of kids with special needs","% gifted","% white","% non-white"
"015255","Harlan-Butlerville Elementary School","7247 Zoar Rd.","Maineville","OH","45039","Warren","050443","Little Miami Local","K-2,P","105","NA","NA","NA","NA","NA","NA","NA","NA","96.7","NA","NA","NA","23.8","30.5","NA","94.3","5.7"
"040857","Westwood Elementary School","13738 Caves Rd","Novelty","OH","44072-9709","Geauga","047225","West Geauga Local","K-5","416","A","B","106.680","A","NA","C","B","B","96.0","NA","90.1","NA","14.2","12.5","3.6","93.3","6.7"
"032664","Miller Ridge Elementary School","4704 Miller Road","Middletown","OH","45042","Butler","044404","Middletown City","K-5","470","F","C","94.902","C","C","C","B","F","96.3","NA","77.2","NA",">95.0","12.3","11.9","79.1","20.9"
"113175","Northridge Middle School","6066 Johnstown Utica Rd","Johnstown","OH","43031-9408","Licking","048033","Northridge Local","6-8","307","C","B","98.522","A","B","C","B","B","94.9","NA","NA","NA","24.1","10.7","18.9",">95.0","<5.0"
"138602","Springboro Intermediate School","705 S Main St","Springboro","OH","45066-1581","Warren","050427","Springboro Community City","6","513","A","B","104.980","F","F","F","F","F","96.9","NA","NA","NA","6.4","9.7","50.1","91.8","8.2"
"004887","Carey High School","357 E South St","Carey","OH","43316-1273","Wyandot","045260","Carey Exempted Village","7-12","411","C","B","97.456","F","NA","F","D","D","95.5","NA","NA","A","32.8","13.1","7.5","92.0","8.0"
"035469","Springfield High School","11335 Youngstown Pittsburgh Rd","New Middletown","OH","44442-8724","Mahoning","048371","Springfield Local","9-12","338","A","B","104.156","NA","NA","NA","NA","A","94.9","NA","NA","A","29.0","8.3","8.9",">95.0","<5.0"
"023325","Mayfield High School","6116 Wilson Mills Rd","Cleveland","OH","44143-2105","Cuyahoga","044370","Mayfield City","9-12","1577","A","B","106.457","NA","NA","NA","NA","B","94.1","NA","NA","B","20.7","24.4","22.1","69.5","30.5"
"028811","Taft Primary School South","825 Smith Rd","Ashland","OH","44805-3644","Ashland","043505","Ashland City","K-3","478","A","A","110.606","NA","NA","NA","NA","A","95.9","NA","97.0","NA","46.2","9.6","9.0","90.6","9.4"
"022350","Malvern Elementary School","401 W Main St","Malvern","OH","44644-9482","Carroll","046177","Brown Local","K-5","309","F","B","97.219","F","B","C","C","F","94.8","NA","91.9","NA","57.6","15.5","20.4","88.7","11.3"
