"District IRN","District Name","Street Address","City","State","Postal Code","Avg Grade","Letter grade performance index","Charter Transfer","% Spent in Classroom","Avg Teacher Experience","Community School Transfer"
"045948","Minster Local","50 E 7th St","Minster","OH","45865-1095","A-","A","48083.97","94.8","19","-38319.15"
"046045","Fayetteville-Perry Local","551 S Apple St","Fayetteville","OH","45118-8461","B-","B","129974.12","93.6","16","-146329.65"
"043562","Bedford City","475 Northfield Rd","Bedford","OH","44146-2201","C+","C","1008658.35","92.1","12","-1390124.15"
"044420","Mount Vernon City","300 Newark Rd","Mount Vernon","OH","43050-4510","D+","B","1018468.99","91.9","16","-942074.81"
"044388","Medina City","739 Weymouth Rd","Medina","OH","44256-2037","B-","B","1163031.66","94.2","14","-1222930.99"
"045625","Upper Sandusky Exempted Village","800 N Sandusky Ave","Upper Sandusky","OH","43351-1032","B-","B","349224.68","92.6","21","-361469.53"
"049411","Clear Fork Valley Local","92 Hines Ave","Bellville","OH","44813-1232","C","B","341195.16","95.1","14","-298793.36"
"043810","Conneaut Area City","400 Mill St","Conneaut","OH","44030-2442","B-","C","505582.87","93.8","14","-555226.33"
"043760","Circleville City","388 Clark Dr","Circleville","OH","43113-1517","D-","C","546246.62","93.8","13","-739785.39"
"050716","Northwood Local","500 Lemoyne Rd","Northwood","OH","43619-1810","C+","B","88147.92","93.9","19","-132007.34"
"045013","Washington Court House City","306 Highland Ave","Washington Court Hou","OH","43160-1819","B","C","402298.18","93.5","15","-378270.61"
"044545","North Royalton City","6579 Royalton Rd","North Royalton","OH","44133-4925","A-","B","644063.17","93.7","10","-811034.54"
"044016","Fremont City","500 W State St","Fremont","OH","43420-2572","C+","C","746122.79","92.7","13","-708730.08"
"048439","Ridgedale Local","3103 Hillman Ford Rd","Morral","OH","43337-9302","C","C","359887.37","92.4","19","-286112.05"
"044941","Urbana City","711 Wood St","Urbana","OH","43078-1498","C","C","1023706.77","94.1","15","-977938.77"
"050419","Carlisle Local","724 Fairview Dr","Carlisle","OH","45005-3148","C","B","469016.03","94.2","14","-589522.54"
"050542","Dalton Local","PO Box 514","Dalton","OH","44618-0514","C+","B","140527.16","92.9","18","-132971.87"
"047936","Fairland Local","228 Private Drive 10010","Proctorville","OH","45669-8600","B","B","302927.76","94.2","10","-333043.71"
"046276","Southeastern Local","226 Clifton Rd","South Charleston","OH","45368-9602","B-","B","140796.59","94.3","15","-152743.25"
"046763","Olentangy Local","814 Shanahan Rd Ste 100","Lewis Center","OH","43035-9078","A","A","1186474.12","95.1","11","-1236898.41"
"047837","Danville Local","PO Box 30","Danville","OH","43014-0030","C","C","188969.86","93.2","15","-177746.22"
"050427","Springboro Community City","1685 S Main St","Springboro","OH","45066-1524","C+","B","589073.61","94.3","12","-605782.23"
"047449","Liberty-Benton Local","9190 County Road 9","Findlay","OH","45840-8811","B","B","125555.09","92.2","12","-55942.47"
"043968","Fairborn City","306 E Whittier Ave","Fairborn","OH","45324-5313","D","C","2925860.71","93.4","17","-2746326.93"
"049650","Washington-Nile Local","15332 Us Highway 52","West Portsmouth","OH","45663-9093","C","C","189174.42","94.0","15","-198531.87"
